Date,Country,Location,Details,Year,Latitude,Longitude
"November 26, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"November 26, 1928",Honduras,Amapala,Good will trip. [Visit made as President-elect.],1928,13.292907,-87.6533563
"November 26, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"November 26, 1928",El Salvador,Cutuco,Good will trip. [Visit made as President-elect.],1928,13.7523996,-88.6599211
"November 27, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"November 27, 1928",Nicaragua,Corinto,Good will trip. [Visit made as President-elect.],1928,12.4816978,-87.1742553
"November 28, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"November 28, 1928",Costa Rica,San Jose,Good will trip. [Visit made as President-elect.],1928,9.9325427,-84.0795782
"December 1, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"December 1, 1928",Ecuador,Guayaquil,Good will trip. [Visit made as President-elect.],1928,-2.1900563,-79.8868741
"December 5, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"December 5, 1928",Peru,Lima,Good will trip. [Visit made as President-elect.],1928,-12.0621065,-77.0365256
"December 8–11, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"December 8–11, 1928",Chile,Antofagasta,Good will trip. [Visit made as President-elect.],1928,-23.6463741,-70.3980033
"December 8–11, 1928",Chile,Santiago,Good will trip. [Visit made as President-elect.],1928,-33.4377756,-70.6504502
"December 13–15, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"December 13–15, 1928",Argentina,Buenos Aires,Good will trip. [Visit made as President-elect.],1928,-34.6083696,-58.4440583
"December 16–18, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"December 16–18, 1928",Uruguay,Montevideo,Good will trip. [Visit made as President-elect.],1928,-34.9058916,-56.1913095
"December 21–23, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"December 21–23, 1928",Brazil,Rio de Janeiro,Good will trip. [Visit made as President-elect.],1928,-22.9110137,-43.2093727
